====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 A ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 6 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
184801.E-02  1110.93E-09  1835.06E-09  
369601.E-02  3670.45E-09  5909.89E-09  
554401.E-02  6985.93E-09  1095.00E-08  
739201.E-02  4443.72E-09  7369.92E-09  
924001.E-02  5324.13E-09  8190.52E-09  
110880.E-01  6209.96E-09  9771.74E-09  
129360.E-01  6395.02E-09  1046.97E-08  
147840.E-01  6447.51E-09  1063.63E-08  
166320.E-01  6486.47E-09  9652.49E-09  
184800.E-01  6562.77E-09  9711.55E-09  
203280.E-01  6616.88E-09  1016.96E-08  
221760.E-01  6808.98E-09  9751.52E-09  
240240.E-01  6635.28E-09  1033.86E-08  
258720.E-01  6782.47E-09  1038.16E-08  
277200.E-01  6912.88E-09  1060.32E-08  
295680.E-01  6944.81E-09  1090.00E-08  
314160.E-01  7127.71E-09  1045.44E-08  
332640.E-01  7216.45E-09  1104.73E-08  
351120.E-01  7255.41E-09  1167.32E-08  
369600.E-01  7428.57E-09  1133.53E-08  
388080.E-01  7503.79E-09  1097.61E-08  
406560.E-01  7709.42E-09  1123.15E-08  
425040.E-01  7693.18E-09  1089.43E-08  
443520.E-01  7777.60E-09  1128.29E-08  
462000.E-01  7797.62E-09  1111.89E-08  
480480.E-01  8029.76E-09  1152.33E-08  
498960.E-01  7983.23E-09  1217.31E-08  
517440.E-01  8062.23E-09  1133.01E-08  
535920.E-01  8238.64E-09  1194.74E-08  
554400.E-01  8514.61E-09  1218.98E-08  
572880.E-01  8575.76E-09  1302.14E-08  
591360.E-01  8700.76E-09  1215.03E-08  
609840.E-01  9010.28E-09  1316.76E-08  
628320.E-01  8891.23E-09  1288.64E-08  
646800.E-01  9231.60E-09  1346.40E-08  
665280.E-01  9318.72E-09  1223.50E-08  
683760.E-01  9414.50E-09  1326.34E-08  
702240.E-01  9500.54E-09  1377.13E-08  
720720.E-01  9745.13E-09  1374.00E-08  
739200.E-01  1000.70E-08  1372.37E-08  
757680.E-01  1022.13E-08  1348.00E-08  
776160.E-01  1017.37E-08  1350.98E-08  
794640.E-01  1062.50E-08  1514.13E-08  
813120.E-01  1074.78E-08  1479.48E-08  
831600.E-01  1107.74E-08  1535.66E-08  
850080.E-01  1121.27E-08  1566.71E-08  
868560.E-01  1151.52E-08  1605.67E-08  
887040.E-01  1181.93E-08  1524.88E-08  
905520.E-01  1208.77E-08  1562.98E-08  
924000.E-01  1228.90E-08  1552.19E-08  
942480.E-01  1264.66E-08  1664.33E-08  
960960.E-01  1296.37E-08  1687.09E-08  
979440.E-01  1348.43E-08  1720.37E-08  
997920.E-01  1396.65E-08  1686.34E-08  
101640.E+00  1431.06E-08  1779.47E-08  
103488.E+00  1461.90E-08  1866.68E-08  
105336.E+00  1524.03E-08  1838.06E-08  
107184.E+00  1587.45E-08  1921.29E-08  
109032.E+00  1655.14E-08  1978.06E-08  
110880.E+00  1709.04E-08  2066.19E-08  
112728.E+00  1789.02E-08  2137.95E-08  
114576.E+00  1846.75E-08  2112.92E-08  
116424.E+00  1956.87E-08  2189.25E-08  
118272.E+00  2045.78E-08  2248.44E-08  
120120.E+00  2160.77E-08  2369.30E-08  
121968.E+00  2298.11E-08  2465.37E-08  
123816.E+00  2426.57E-08  2545.41E-08  
125664.E+00  2594.53E-08  2578.81E-08  
127512.E+00  2797.46E-08  2731.56E-08  
129360.E+00  3050.05E-08  2878.17E-08  
131208.E+00  3332.20E-08  3021.49E-08  
133056.E+00  3722.08E-08  3250.72E-08  
134904.E+00  4166.83E-08  3442.41E-08  
136752.E+00  4740.26E-08  3608.44E-08  
138600.E+00  5395.83E-08  3825.33E-08  
140448.E+00  6286.96E-08  3994.09E-08  
142296.E+00  7365.85E-08  4226.81E-08  
144144.E+00  8695.35E-08  4262.41E-08  
145992.E+00  9823.70E-08  4098.34E-08  
147840.E+00  1053.84E-07  3778.72E-08  
