====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
184801.E-02  212724.E-08  104567.E-08
369601.E-02  202303.E-08  323346.E-08
554401.E-02  199114.E-08  583918.E-08
739201.E-02  195917.E-08  381501.E-08
924001.E-02  191618.E-08  435225.E-08
110880.E-01  191914.E-08  506736.E-08
129360.E-01  193063.E-08  529400.E-08
147840.E-01  194495.E-08  535138.E-08
166320.E-01  196432.E-08  517071.E-08
184800.E-01  198443.E-08  519964.E-08
203280.E-01  200493.E-08  533979.E-08
221760.E-01  202260.E-08  528643.E-08
240240.E-01  204955.E-08  541976.E-08
258720.E-01  206759.E-08  547939.E-08
277200.E-01  208650.E-08  556986.E-08
295680.E-01  210762.E-08  565786.E-08
314160.E-01  212779.E-08  560947.E-08
332640.E-01  215427.E-08  577708.E-08
351120.E-01  218217.E-08  594642.E-08
369600.E-01  220545.E-08  593451.E-08
388080.E-01  223118.E-08  588523.E-08
406560.E-01  225624.E-08  599908.E-08
425040.E-01  227859.E-08  594743.E-08
443520.E-01  230811.E-08  607186.E-08
462000.E-01  233614.E-08  607245.E-08
480480.E-01  236380.E-08  623643.E-08
498960.E-01  238783.E-08  637933.E-08
517440.E-01  242356.E-08  625153.E-08
535920.E-01  246062.E-08  644712.E-08
554400.E-01  249086.E-08  658730.E-08
572880.E-01  252889.E-08  682214.E-08
591360.E-01  255917.E-08  666188.E-08
609840.E-01  259681.E-08  699488.E-08
628320.E-01  263629.E-08  694399.E-08
646800.E-01  267921.E-08  717319.E-08
665280.E-01  272240.E-08  694637.E-08
683760.E-01  276218.E-08  723095.E-08
702240.E-01  280645.E-08  740377.E-08
720720.E-01  285449.E-08  748730.E-08
739200.E-01  289967.E-08  758392.E-08
757680.E-01  295153.E-08  759689.E-08
776160.E-01  300511.E-08  765401.E-08
794640.E-01  306314.E-08  815571.E-08
813120.E-01  312365.E-08  815936.E-08
831600.E-01  318107.E-08  839373.E-08
850080.E-01  324811.E-08  855051.E-08
868560.E-01  331761.E-08  876115.E-08
887040.E-01  340331.E-08  871627.E-08
905520.E-01  347566.E-08  890153.E-08
924000.E-01  355219.E-08  900256.E-08
942480.E-01  364476.E-08  939155.E-08
960960.E-01  374200.E-08  959859.E-08
979440.E-01  384057.E-08  984596.E-08
997920.E-01  394276.E-08  993808.E-08
101640.E+00  406302.E-08  103421.E-07
103488.E+00  416020.E-08  106840.E-07
105336.E+00  429560.E-08  108490.E-07
107184.E+00  446326.E-08  112962.E-07
109032.E+00  462861.E-08  117076.E-07
110880.E+00  478873.E-08  121658.E-07
112728.E+00  498250.E-08  126364.E-07
114576.E+00  521850.E-08  128968.E-07
116424.E+00  544700.E-08  134738.E-07
118272.E+00  570309.E-08  140130.E-07
120120.E+00  598990.E-08  147390.E-07
121968.E+00  634238.E-08  155452.E-07
123816.E+00  672485.E-08  162797.E-07
125664.E+00  721751.E-08  171377.E-07
127512.E+00  773887.E-08  183147.E-07
129360.E+00  843399.E-08  197270.E-07
131208.E+00  924958.E-08  212969.E-07
133056.E+00  103162.E-07  235138.E-07
134904.E+00  115774.E-07  259008.E-07
136752.E+00  132207.E-07  287812.E-07
138600.E+00  153751.E-07  324264.E-07
140448.E+00  183551.E-07  371216.E-07
142296.E+00  221930.E-07  430886.E-07
144144.E+00  270322.E-07  499097.E-07
145992.E+00  321423.E-07  562220.E-07
147840.E+00  366167.E-07  608445.E-07
149688.E+00  384617.E-07  609953.E-07
151536.E+00  362059.E-07  548987.E-07
153384.E+00  295845.E-07  432211.E-07
155232.E+00  207027.E-07  292220.E-07
157080.E+00  122203.E-07  167255.E-07
158928.E+00  601701.E-08  804191.E-08
160776.E+00  245235.E-08  320740.E-08
162624.E+00  827919.E-09  106308.E-08
164472.E+00  228503.E-09  286943.E-09
166320.E+00  489038.E-10  583391.E-10
168168.E+00  119933.E-10  144152.E-10
170016.E+00  168869.E-11  180126.E-11
171864.E+00  294237.E-12  326706.E-12
173712.E+00  000000.E+00  000000.E+00
175560.E+00  000000.E+00  000000.E+00
177408.E+00  000000.E+00  000000.E+00
179256.E+00  000000.E+00  000000.E+00
181104.E+00  000000.E+00  000000.E+00
182952.E+00  000000.E+00  000000.E+00
184800.E+00  000000.E+00  000000.E+00
