====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 8 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
327601.E-02  9606.23E-10  1751.53E-09  
655201.E-02  3374.24E-09  5755.92E-09  
982801.E-02  3782.97E-09  6352.75E-09  
131040.E-01  3517.09E-09  6013.27E-09  
163800.E-01  4126.37E-09  7347.05E-09  
196560.E-01  4227.41E-09  7312.17E-09  
229320.E-01  4248.78E-09  7121.32E-09  
262080.E-01  4356.84E-09  7233.90E-09  
294840.E-01  4397.44E-09  7960.02E-09  
327600.E-01  4380.34E-09  7118.22E-09  
360360.E-01  4499.69E-09  7523.34E-09  
393120.E-01  4499.69E-09  7481.18E-09  
425880.E-01  4508.24E-09  7734.16E-09  
458640.E-01  4589.44E-09  7436.54E-09  
491400.E-01  4647.13E-09  7741.25E-09  
524160.E-01  4669.72E-09  7514.75E-09  
556920.E-01  4707.57E-09  7713.54E-09  
589680.E-01  4859.28E-09  7495.50E-09  
622440.E-01  4809.83E-09  7703.00E-09  
655200.E-01  4906.29E-09  8223.82E-09  
687960.E-01  4948.72E-09  8220.44E-09  
720720.E-01  4976.50E-09  8233.48E-09  
753480.E-01  5072.95E-09  8104.93E-09  
786240.E-01  5101.34E-09  8749.80E-09  
819000.E-01  5155.68E-09  8349.71E-09  
851760.E-01  5293.96E-09  7858.86E-09  
884520.E-01  5297.31E-09  8357.16E-09  
917280.E-01  5296.09E-09  8392.12E-09  
950040.E-01  5532.97E-09  8640.09E-09  
982800.E-01  5545.48E-09  8620.50E-09  
101556.E+00  5591.58E-09  9027.57E-09  
104832.E+00  5625.76E-09  8928.20E-09  
108108.E+00  5800.67E-09  8771.90E-09  
111384.E+00  5848.90E-09  9334.51E-09  
114660.E+00  5964.29E-09  8942.81E-09  
117936.E+00  6061.97E-09  9202.74E-09  
121212.E+00  6077.53E-09  9323.84E-09  
124488.E+00  6259.16E-09  9830.00E-09  
127764.E+00  6386.45E-09  9937.45E-09  
131040.E+00  6504.58E-09  9449.52E-09  
134316.E+00  6537.85E-09  9656.50E-09  
137592.E+00  6692.61E-09  1063.06E-08  
140868.E+00  6835.47E-09  1017.99E-08  
144144.E+00  6954.21E-09  1096.22E-08  
147420.E+00  7111.72E-09  1031.44E-08  
150696.E+00  7200.85E-09  1075.30E-08  
153972.E+00  7419.72E-09  1082.97E-08  
157248.E+00  7491.76E-09  1087.43E-08  
160524.E+00  7746.03E-09  1102.03E-08  
163800.E+00  7907.51E-09  1137.66E-08  
167076.E+00  8100.12E-09  1181.59E-08  
170352.E+00  8331.20E-09  1169.19E-08  
173628.E+00  8544.87E-09  1217.58E-08  
176904.E+00  8776.56E-09  1204.56E-08  
180180.E+00  9087.61E-09  1287.13E-08  
183456.E+00  9214.59E-09  1290.17E-08  
186732.E+00  9510.38E-09  1328.28E-08  
190008.E+00  9824.48E-09  1353.49E-08  
193284.E+00  1024.60E-08  1382.86E-08  
196560.E+00  1052.11E-08  1410.36E-08  
199836.E+00  1092.77E-08  1471.18E-08  
203112.E+00  1134.65E-08  1532.46E-08  
206388.E+00  1180.13E-08  1551.33E-08  
209664.E+00  1234.46E-08  1571.56E-08  
212940.E+00  1296.21E-08  1613.99E-08  
216216.E+00  1361.69E-08  1691.11E-08  
219492.E+00  1433.94E-08  1807.76E-08  
222768.E+00  1511.26E-08  1833.66E-08  
226044.E+00  1616.64E-08  1924.69E-08  
229320.E+00  1721.92E-08  2038.00E-08  
232596.E+00  1869.35E-08  2142.23E-08  
235872.E+00  2029.30E-08  2275.20E-08  
239148.E+00  2233.49E-08  2382.11E-08  
242424.E+00  2466.64E-08  2513.26E-08  
245700.E+00  2776.19E-08  2661.32E-08  
248976.E+00  3201.40E-08  2837.69E-08  
252252.E+00  3741.82E-08  3046.63E-08  
255528.E+00  4450.03E-08  3276.88E-08  
258804.E+00  5350.76E-08  3494.19E-08  
262080.E+00  6432.23E-08  3584.39E-08  
