====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 74865.E+00 AAA ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 636858.E-01 A   Straggling = 313403.E-02 A
 Ion Lateral Range = 418837.E-02 A   Straggling = 570003.E-02 A
 Ion Radial  Range = 657625.E-02 A   Straggling = 464651.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4491901.E-02 16547778.E-03 20289932.E-03 26093556.E-03 11274046.E-03 
4566766.E-02 15626245.E-03 19381504.E-03 25355037.E-03 11225898.E-03 
4641631.E-02 17164121.E-03 20370100.E-03 26538961.E-03 10254563.E-03 
4716496.E-02 17002944.E-03 20237946.E-03 25821433.E-03 10499922.E-03 
4791361.E-02 15000578.E-03 18504460.E-03 23969691.E-03 11097607.E-03 
4866226.E-02 15626034.E-03 18725610.E-03 24071872.E-03 99002404.E-04 
4941091.E-02 14093855.E-03 17310871.E-03 23051746.E-03 10074944.E-03 
5015956.E-02 14799176.E-03 17778142.E-03 23145173.E-03 98048699.E-04 
5090821.E-02 14656293.E-03 17582430.E-03 22688870.E-03 91028208.E-04 
5165686.E-02 13893979.E-03 16741814.E-03 21754371.E-03 92391745.E-04 
5240551.E-02 13063343.E-03 15642166.E-03 20598718.E-03 88029878.E-04 
5315416.E-02 12628947.E-03 15430177.E-03 20173510.E-03 90137412.E-04 
5390281.E-02 12257026.E-03 14962856.E-03 19296196.E-03 88404528.E-04 
5465146.E-02 11626287.E-03 14238556.E-03 18338539.E-03 83005124.E-04 
5540011.E-02 11119240.E-03 13610591.E-03 17674707.E-03 79452441.E-04 
5614876.E-02 10615998.E-03 12972684.E-03 16681980.E-03 75968639.E-04 
5689741.E-02 99479171.E-04 12172940.E-03 15766547.E-03 73728985.E-04 
5764606.E-02 94093520.E-04 11519045.E-03 14870993.E-03 69203389.E-04 
5839471.E-02 89991603.E-04 11047194.E-03 13993490.E-03 65496677.E-04 
5914336.E-02 80092133.E-04 98847064.E-04 12614241.E-03 60285539.E-04 
5989201.E-02 73514993.E-04 90573702.E-04 11405090.E-03 56114150.E-04 
6064066.E-02 64391409.E-04 80190176.E-04 10077054.E-03 51003024.E-04 
6138931.E-02 56070493.E-04 70117306.E-04 88161199.E-04 45758573.E-04 
6213796.E-02 49653202.E-04 62479329.E-04 77817274.E-04 41370829.E-04 
6288661.E-02 44256925.E-04 55756017.E-04 69456989.E-04 37326271.E-04 
6363526.E-02 40152405.E-04 50691581.E-04 63125989.E-04 34041671.E-04 
6438391.E-02 36951044.E-04 46693067.E-04 58274754.E-04 31564715.E-04 
6513256.E-02 34678362.E-04 43762442.E-04 54398001.E-04 29372377.E-04 
6588121.E-02 32755764.E-04 41239055.E-04 51350565.E-04 27495837.E-04 
6662986.E-02 31054963.E-04 39123583.E-04 48815416.E-04 26189425.E-04 
6737851.E-02 29634664.E-04 37328044.E-04 46675807.E-04 25002505.E-04 
6812716.E-02 28870295.E-04 36313391.E-04 45192955.E-04 24101178.E-04 
6887581.E-02 27908987.E-04 35064852.E-04 43822631.E-04 23076508.E-04 
6962446.E-02 27019874.E-04 33867128.E-04 42515368.E-04 21777539.E-04 
7037311.E-02 26757808.E-04 33227891.E-04 41335526.E-04 22020332.E-04 
7112176.E-02 25459508.E-04 32369661.E-04 39172640.E-04 22099182.E-04 
7187041.E-02 26933072.E-04 34302502.E-04 43267914.E-04 20683580.E-04 
7261906.E-02 30508554.E-04 30508554.E-04 36492048.E-04 00000000.E+00 
7336771.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7411636.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7486501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
