 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iron.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.657E+00  3.657E-01     102 A       136 A       102 A   
   1.50 keV   3.786E+00  3.632E-01     109 A       143 A       107 A   
   1.60 keV   3.910E+00  3.606E-01     115 A       149 A       112 A   
   1.70 keV   4.030E+00  3.579E-01     122 A       155 A       116 A   
   1.80 keV   4.147E+00  3.551E-01     129 A       160 A       121 A   
   2.00 keV   4.371E+00  3.495E-01     142 A       171 A       130 A   
   2.25 keV   4.658E+00  3.424E-01     159 A       184 A       140 A   
   2.50 keV   4.927E+00  3.353E-01     176 A       197 A       150 A   
   2.75 keV   5.178E+00  3.285E-01     193 A       209 A       160 A   
   3.00 keV   5.411E+00  3.218E-01     210 A       220 A       170 A   
   3.25 keV   5.625E+00  3.154E-01     226 A       231 A       179 A   
   3.50 keV   5.820E+00  3.092E-01     243 A       242 A       188 A   
   3.75 keV   5.997E+00  3.032E-01     260 A       252 A       197 A   
   4.00 keV   6.155E+00  2.975E-01     277 A       262 A       205 A   
   4.50 keV   6.422E+00  2.867E-01     311 A       281 A       222 A   
   5.00 keV   6.640E+00  2.767E-01     345 A       300 A       238 A   
   5.50 keV   6.836E+00  2.675E-01     380 A       318 A       254 A   
   6.00 keV   7.035E+00  2.590E-01     415 A       335 A       269 A   
   6.50 keV   7.253E+00  2.511E-01     449 A       351 A       285 A   
   7.00 keV   7.495E+00  2.437E-01     484 A       367 A       299 A   
   8.00 keV   8.038E+00  2.303E-01     553 A       397 A       328 A   
   9.00 keV   8.620E+00  2.186E-01     620 A       425 A       354 A   
  10.00 keV   9.205E+00  2.082E-01     686 A       450 A       379 A   
  11.00 keV   9.777E+00  1.989E-01     750 A       472 A       401 A   
  12.00 keV   1.033E+01  1.905E-01     812 A       493 A       423 A   
  13.00 keV   1.086E+01  1.829E-01     872 A       512 A       443 A   
  14.00 keV   1.136E+01  1.760E-01     932 A       530 A       462 A   
  15.00 keV   1.184E+01  1.697E-01     990 A       547 A       479 A   
  16.00 keV   1.231E+01  1.639E-01    1047 A       562 A       496 A   
  17.00 keV   1.275E+01  1.585E-01    1103 A       577 A       513 A   
  18.00 keV   1.317E+01  1.536E-01    1158 A       591 A       528 A   
  20.00 keV   1.398E+01  1.447E-01    1266 A       616 A       557 A   
  22.50 keV   1.489E+01  1.351E-01    1396 A       643 A       590 A   
  25.00 keV   1.573E+01  1.269E-01    1522 A       668 A       620 A   
  27.50 keV   1.650E+01  1.197E-01    1644 A       690 A       647 A   
  30.00 keV   1.720E+01  1.134E-01    1763 A       710 A       673 A   
  32.50 keV   1.785E+01  1.079E-01    1880 A       728 A       697 A   
  35.00 keV   1.844E+01  1.029E-01    1994 A       745 A       720 A   
  37.50 keV   1.899E+01  9.845E-02    2106 A       760 A       741 A   
  40.00 keV   1.949E+01  9.440E-02    2216 A       775 A       761 A   
  45.00 keV   2.038E+01  8.735E-02    2432 A       801 A       799 A   
  50.00 keV   2.113E+01  8.140E-02    2642 A       824 A       834 A   
  55.00 keV   2.177E+01  7.630E-02    2848 A       846 A       866 A   
  60.00 keV   2.230E+01  7.187E-02    3050 A       865 A       897 A   
  65.00 keV   2.275E+01  6.799E-02    3250 A       883 A       926 A   
  70.00 keV   2.312E+01  6.455E-02    3447 A       900 A       953 A   
  80.00 keV   2.367E+01  5.873E-02    3839 A       931 A      1005 A   
  90.00 keV   2.401E+01  5.397E-02    4226 A       959 A      1053 A   
 100.00 keV   2.421E+01  5.000E-02    4613 A       985 A      1098 A   
 110.00 keV   2.428E+01  4.664E-02    4999 A      1009 A      1142 A   
 120.00 keV   2.426E+01  4.374E-02    5387 A      1032 A      1184 A   
 130.00 keV   2.416E+01  4.121E-02    5778 A      1054 A      1225 A   
 140.00 keV   2.402E+01  3.899E-02    6172 A      1075 A      1266 A   
 150.00 keV   2.383E+01  3.702E-02    6570 A      1095 A      1305 A   
 160.00 keV   2.361E+01  3.526E-02    6973 A      1115 A      1344 A   
 170.00 keV   2.337E+01  3.367E-02    7381 A      1135 A      1383 A   
 180.00 keV   2.311E+01  3.223E-02    7793 A      1154 A      1421 A   
 200.00 keV   2.256E+01  2.973E-02    8636 A      1194 A      1498 A   
 225.00 keV   2.185E+01  2.715E-02    9723 A      1246 A      1594 A   
 250.00 keV   2.114E+01  2.501E-02    1.08 um     1297 A      1691 A   
 275.00 keV   2.045E+01  2.321E-02    1.20 um     1349 A      1789 A   
 300.00 keV   1.978E+01  2.168E-02    1.32 um     1401 A      1889 A   
 325.00 keV   1.915E+01  2.035E-02    1.45 um     1453 A      1991 A   
 350.00 keV   1.855E+01  1.918E-02    1.58 um     1507 A      2095 A   
 375.00 keV   1.798E+01  1.816E-02    1.71 um     1561 A      2202 A   
 400.00 keV   1.744E+01  1.725E-02    1.85 um     1617 A      2311 A   
 450.00 keV   1.646E+01  1.569E-02    2.14 um     1754 A      2537 A   
 500.00 keV   1.559E+01  1.441E-02    2.44 um     1895 A      2774 A   
 550.00 keV   1.482E+01  1.334E-02    2.77 um     2040 A      3021 A   
 600.00 keV   1.412E+01  1.243E-02    3.10 um     2190 A      3280 A   
 650.00 keV   1.349E+01  1.164E-02    3.46 um     2345 A      3549 A   
 700.00 keV   1.292E+01  1.095E-02    3.83 um     2504 A      3829 A   
 800.00 keV   1.193E+01  9.813E-03    4.63 um     2939 A      4422 A   
 900.00 keV   1.110E+01  8.903E-03    5.48 um     3382 A      5057 A   
   1.00 MeV   1.038E+01  8.157E-03    6.40 um     3835 A      5732 A   
   1.10 MeV   9.858E+00  7.534E-03    7.37 um     4296 A      6444 A   
   1.20 MeV   9.342E+00  7.006E-03    8.40 um     4764 A      7190 A   
   1.30 MeV   8.914E+00  6.552E-03    9.48 um     5241 A      7970 A   
   1.40 MeV   8.535E+00  6.156E-03   10.61 um     5726 A      8780 A   
   1.50 MeV   8.192E+00  5.809E-03   11.79 um     6219 A      9619 A   
   1.60 MeV   7.879E+00  5.501E-03   13.02 um     6721 A      1.05 um  
   1.70 MeV   7.593E+00  5.226E-03   14.30 um     7232 A      1.14 um  
   1.80 MeV   7.330E+00  4.980E-03   15.62 um     7751 A      1.23 um  
   2.00 MeV   6.864E+00  4.554E-03   18.41 um     9234 A      1.42 um  
   2.25 MeV   6.370E+00  4.119E-03   22.14 um     1.13 um     1.68 um  
   2.50 MeV   5.952E+00  3.765E-03   26.16 um     1.33 um     1.95 um  
   2.75 MeV   5.593E+00  3.470E-03   30.45 um     1.54 um     2.24 um  
   3.00 MeV   5.281E+00  3.221E-03   35.00 um     1.74 um     2.54 um  
   3.25 MeV   5.006E+00  3.007E-03   39.81 um     1.95 um     2.86 um  
   3.50 MeV   4.763E+00  2.821E-03   44.88 um     2.16 um     3.19 um  
   3.75 MeV   4.545E+00  2.658E-03   50.19 um     2.37 um     3.53 um  
   4.00 MeV   4.349E+00  2.514E-03   55.76 um     2.58 um     3.89 um  
   4.50 MeV   4.010E+00  2.270E-03   67.62 um     3.25 um     4.65 um  
   5.00 MeV   3.726E+00  2.072E-03   80.43 um     3.89 um     5.46 um  
   5.50 MeV   3.485E+00  1.907E-03   94.18 um     4.53 um     6.33 um  
   6.00 MeV   3.276E+00  1.768E-03  108.84 um     5.18 um     7.24 um  
