 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 29, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Iron in Iron.txt

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.50 keV   4.227E+00  8.835E+01      16 A        11 A         8 A   
   1.60 keV   4.366E+00  9.066E+01      17 A        12 A         8 A   
   1.70 keV   4.500E+00  9.287E+01      17 A        12 A         8 A   
   1.80 keV   4.631E+00  9.497E+01      18 A        12 A         9 A   
   2.00 keV   4.881E+00  9.890E+01      19 A        13 A         9 A   
   2.25 keV   5.177E+00  1.034E+02      20 A        14 A        10 A   
   2.50 keV   5.457E+00  1.075E+02      21 A        14 A        10 A   
   2.75 keV   5.724E+00  1.112E+02      23 A        15 A        11 A   
   3.00 keV   5.978E+00  1.146E+02      24 A        16 A        11 A   
   3.25 keV   6.222E+00  1.178E+02      25 A        16 A        12 A   
   3.50 keV   6.457E+00  1.208E+02      26 A        17 A        12 A   
   3.75 keV   6.684E+00  1.236E+02      27 A        18 A        13 A   
   4.00 keV   6.903E+00  1.262E+02      28 A        18 A        13 A   
   4.50 keV   7.322E+00  1.310E+02      30 A        19 A        14 A   
   5.00 keV   7.718E+00  1.353E+02      32 A        21 A        15 A   
   5.50 keV   8.095E+00  1.391E+02      34 A        22 A        16 A   
   6.00 keV   8.455E+00  1.427E+02      36 A        23 A        16 A   
   6.50 keV   8.800E+00  1.459E+02      38 A        24 A        17 A   
   7.00 keV   9.132E+00  1.489E+02      40 A        25 A        18 A   
   8.00 keV   9.763E+00  1.541E+02      44 A        27 A        19 A   
   9.00 keV   1.035E+01  1.587E+02      48 A        29 A        21 A   
  10.00 keV   1.091E+01  1.627E+02      51 A        31 A        22 A   
  11.00 keV   1.145E+01  1.663E+02      55 A        32 A        23 A   
  12.00 keV   1.196E+01  1.694E+02      58 A        34 A        25 A   
  13.00 keV   1.244E+01  1.723E+02      62 A        36 A        26 A   
  14.00 keV   1.291E+01  1.748E+02      65 A        38 A        27 A   
  15.00 keV   1.337E+01  1.771E+02      68 A        39 A        28 A   
  16.00 keV   1.381E+01  1.792E+02      72 A        41 A        30 A   
  17.00 keV   1.423E+01  1.812E+02      75 A        42 A        31 A   
  18.00 keV   1.464E+01  1.829E+02      78 A        44 A        32 A   
  20.00 keV   1.544E+01  1.860E+02      85 A        47 A        34 A   
  22.50 keV   1.637E+01  1.892E+02      92 A        51 A        37 A   
  25.00 keV   1.726E+01  1.918E+02     100 A        55 A        40 A   
  27.50 keV   1.810E+01  1.940E+02     108 A        59 A        42 A   
  30.00 keV   1.891E+01  1.957E+02     116 A        62 A        45 A   
