====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 40180.E+01 AAA ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 354244.E+00 A   Straggling = 114456.E-01 A
 Ion Lateral Range = 160535.E-01 A   Straggling = 225008.E-01 A
 Ion Radial  Range = 252206.E-01 A   Straggling = 194227.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2410800.E-01 95071848.E-03 11564410.E-02 16227777.E-02 60262631.E-03 
2450980.E-01 99485209.E-03 11636437.E-02 15692508.E-02 57664789.E-03 
2491160.E-01 10652082.E-02 12345039.E-02 15927016.E-02 55390970.E-03 
2531340.E-01 10206867.E-02 11896886.E-02 15483620.E-02 54756826.E-03 
2571520.E-01 92880662.E-03 11253243.E-02 14712834.E-02 61202715.E-03 
2611700.E-01 94137559.E-03 11093393.E-02 14935510.E-02 53494472.E-03 
2651880.E-01 86222978.E-03 10402340.E-02 14858028.E-02 54803241.E-03 
2692060.E-01 92241353.E-03 10889117.E-02 14493655.E-02 53009103.E-03 
2732240.E-01 81749539.E-03 99014749.E-03 13779681.E-02 54755649.E-03 
2772420.E-01 89199990.E-03 10570141.E-02 13814136.E-02 52473669.E-03 
2812600.E-01 86162151.E-03 10325244.E-02 13338195.E-02 54093648.E-03 
2852780.E-01 80287748.E-03 97472584.E-03 12804456.E-02 51596840.E-03 
2892960.E-01 82183550.E-03 97796146.E-03 12846402.E-02 49125282.E-03 
2933140.E-01 80713083.E-03 95186288.E-03 12542485.E-02 45760799.E-03 
2973320.E-01 73103585.E-03 86975566.E-03 11767553.E-02 47082357.E-03 
3013500.E-01 74387225.E-03 88197983.E-03 11560000.E-02 43649382.E-03 
3053680.E-01 72417865.E-03 86315344.E-03 11313329.E-02 43274204.E-03 
3093860.E-01 68507739.E-03 81347218.E-03 10672786.E-02 41482221.E-03 
3134040.E-01 67296140.E-03 79622993.E-03 10179854.E-02 40278365.E-03 
3174220.E-01 61007331.E-03 73017485.E-03 96346914.E-03 38654186.E-03 
3214400.E-01 58293410.E-03 69544315.E-03 91974258.E-03 36145357.E-03 
3254580.E-01 55014942.E-03 66085410.E-03 86768842.E-03 34032826.E-03 
3294760.E-01 50672015.E-03 60859015.E-03 79640928.E-03 32848698.E-03 
3334940.E-01 44962093.E-03 54236933.E-03 70177310.E-03 30312482.E-03 
3375120.E-01 36008810.E-03 44968520.E-03 56449546.E-03 28840523.E-03 
3415300.E-01 26718688.E-03 34385815.E-03 41991279.E-03 24678154.E-03 
3455480.E-01 20632776.E-03 26933487.E-03 32430394.E-03 19925614.E-03 
3495660.E-01 17331426.E-03 22482646.E-03 27209536.E-03 16426982.E-03 
3535840.E-01 15483633.E-03 19936143.E-03 24252745.E-03 14274725.E-03 
3576020.E-01 14184884.E-03 18166976.E-03 22347228.E-03 12835185.E-03 
3616200.E-01 13411616.E-03 17098270.E-03 21050004.E-03 11830052.E-03 
3656380.E-01 12764103.E-03 16212985.E-03 20071033.E-03 11129944.E-03 
3696560.E-01 12189117.E-03 15473484.E-03 19201631.E-03 10560797.E-03 
3736740.E-01 11843096.E-03 15007181.E-03 18620622.E-03 10016204.E-03 
3776920.E-01 11649300.E-03 14766386.E-03 18274333.E-03 10045773.E-03 
3817100.E-01 10677250.E-03 13616673.E-03 17348543.E-03 96439446.E-04 
3857280.E-01 10902732.E-03 14410776.E-03 17565796.E-03 10302326.E-03 
3897460.E-01 90134083.E-04 14351312.E-03 12992201.E-03 10459034.E-03 
3937640.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3977820.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4018000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
