====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+06 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
140530.E-01  306278.E-09  306980.E-09
281060.E-01  282789.E-09  968445.E-09
421590.E-01  267720.E-09  746383.E-09
562120.E-01  263323.E-09  935850.E-09
702650.E-01  264907.E-09  938946.E-09
843180.E-01  266861.E-09  930279.E-09
983710.E-01  268856.E-09  959985.E-09
112424.E+00  270809.E-09  969043.E-09
126477.E+00  273143.E-09  924873.E-09
140530.E+00  275248.E-09  968877.E-09
154583.E+00  276883.E-09  947409.E-09
168636.E+00  279631.E-09  978703.E-09
182689.E+00  281666.E-09  103151.E-08
196742.E+00  283283.E-09  101124.E-08
210795.E+00  285879.E-09  100812.E-08
224848.E+00  288506.E-09  101698.E-08
238901.E+00  291167.E-09  103968.E-08
252954.E+00  293197.E-09  100325.E-08
267007.E+00  295710.E-09  107835.E-08
281060.E+00  298836.E-09  106790.E-08
295113.E+00  301260.E-09  105727.E-08
309166.E+00  303408.E-09  104927.E-08
323219.E+00  306376.E-09  108641.E-08
337272.E+00  309167.E-09  109273.E-08
351325.E+00  312251.E-09  110616.E-08
365378.E+00  314980.E-09  112467.E-08
379431.E+00  318237.E-09  109203.E-08
393484.E+00  322123.E-09  113256.E-08
407537.E+00  325518.E-09  117561.E-08
421590.E+00  327794.E-09  117540.E-08
435643.E+00  331377.E-09  121176.E-08
449696.E+00  335331.E-09  119598.E-08
463749.E+00  338716.E-09  122136.E-08
477802.E+00  342991.E-09  120494.E-08
491855.E+00  346572.E-09  119786.E-08
505908.E+00  350745.E-09  125016.E-08
519961.E+00  354542.E-09  128330.E-08
534014.E+00  358983.E-09  124227.E-08
548067.E+00  363543.E-09  129786.E-08
562120.E+00  368153.E-09  131445.E-08
576173.E+00  372691.E-09  139207.E-08
590226.E+00  377102.E-09  135122.E-08
604279.E+00  381927.E-09  140034.E-08
618332.E+00  386729.E-09  138685.E-08
632385.E+00  392423.E-09  142998.E-08
646438.E+00  397784.E-09  142816.E-08
660491.E+00  404677.E-09  139505.E-08
674544.E+00  411097.E-09  149108.E-08
688597.E+00  416807.E-09  145200.E-08
702650.E+00  423448.E-09  150577.E-08
716703.E+00  429750.E-09  153511.E-08
730756.E+00  437355.E-09  151408.E-08
744809.E+00  445063.E-09  157812.E-08
758862.E+00  453334.E-09  164231.E-08
772915.E+00  461567.E-09  160544.E-08
786968.E+00  470334.E-09  163564.E-08
801021.E+00  479126.E-09  166463.E-08
815074.E+00  488924.E-09  169822.E-08
829127.E+00  499939.E-09  175888.E-08
843180.E+00  511136.E-09  186551.E-08
857233.E+00  522283.E-09  181900.E-08
871286.E+00  535311.E-09  188748.E-08
885339.E+00  547432.E-09  188228.E-08
899392.E+00  561979.E-09  195676.E-08
913445.E+00  576503.E-09  200022.E-08
927498.E+00  593595.E-09  205529.E-08
941551.E+00  611292.E-09  218162.E-08
955604.E+00  629061.E-09  221090.E-08
969657.E+00  652203.E-09  225860.E-08
983710.E+00  675153.E-09  236234.E-08
997763.E+00  700578.E-09  248853.E-08
101182.E+01  728310.E-09  258016.E-08
102587.E+01  760029.E-09  262950.E-08
103992.E+01  795665.E-09  278785.E-08
105398.E+01  835946.E-09  293563.E-08
106803.E+01  883193.E-09  303670.E-08
108208.E+01  935645.E-09  325200.E-08
109613.E+01  100112.E-08  345819.E-08
111019.E+01  107815.E-08  373100.E-08
112424.E+01  117924.E-08  406767.E-08
113829.E+01  130288.E-08  447757.E-08
115235.E+01  148070.E-08  506503.E-08
116640.E+01  176017.E-08  596727.E-08
118045.E+01  224050.E-08  734221.E-08
119451.E+01  305525.E-08  948716.E-08
120856.E+01  412590.E-08  119933.E-07
122261.E+01  486444.E-08  132877.E-07
123666.E+01  450270.E-08  117911.E-07
125072.E+01  314300.E-08  787711.E-08
126477.E+01  158687.E-08  384395.E-08
127882.E+01  574544.E-09  135339.E-08
129288.E+01  147794.E-09  342069.E-09
130693.E+01  273423.E-10  605300.E-10
132098.E+01  336655.E-11  748000.E-11
133504.E+01  486754.E-12  105144.E-11
134909.E+01  000000.E+00  000000.E+00
136314.E+01  000000.E+00  000000.E+00
137719.E+01  000000.E+00  000000.E+00
139125.E+01  000000.E+00  000000.E+00
140530.E+01  000000.E+00  000000.E+00
