====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+05 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
694401.E-02  902991.E-09  820018.E-09
138880.E-01  850805.E-09  214384.E-08
208320.E-01  815415.E-09  195660.E-08
277760.E-01  812949.E-09  216966.E-08
347200.E-01  818608.E-09  226296.E-08
416640.E-01  826201.E-09  224399.E-08
486080.E-01  833478.E-09  235838.E-08
555520.E-01  840847.E-09  235834.E-08
624960.E-01  847390.E-09  236108.E-08
694400.E-01  855571.E-09  242564.E-08
763840.E-01  863688.E-09  236860.E-08
833280.E-01  870401.E-09  238147.E-08
902720.E-01  878103.E-09  232993.E-08
972160.E-01  885073.E-09  246020.E-08
104160.E+00  891872.E-09  249068.E-08
111104.E+00  901866.E-09  242311.E-08
118048.E+00  911629.E-09  247925.E-08
124992.E+00  918526.E-09  257339.E-08
131936.E+00  927905.E-09  262807.E-08
138880.E+00  938273.E-09  257904.E-08
145824.E+00  947132.E-09  260735.E-08
152768.E+00  957800.E-09  263677.E-08
159712.E+00  966903.E-09  267235.E-08
166656.E+00  975124.E-09  265938.E-08
173600.E+00  988836.E-09  270822.E-08
180544.E+00  998740.E-09  273811.E-08
187488.E+00  100738.E-08  267992.E-08
194432.E+00  102064.E-08  275165.E-08
201376.E+00  103466.E-08  288304.E-08
208320.E+00  104517.E-08  289672.E-08
215264.E+00  105758.E-08  285925.E-08
222208.E+00  106966.E-08  287072.E-08
229152.E+00  108479.E-08  299484.E-08
236096.E+00  110037.E-08  295003.E-08
243040.E+00  111274.E-08  299706.E-08
249984.E+00  112686.E-08  300291.E-08
256928.E+00  114233.E-08  304504.E-08
263872.E+00  116145.E-08  310138.E-08
270816.E+00  117607.E-08  316921.E-08
277760.E+00  119206.E-08  328058.E-08
284704.E+00  121078.E-08  335248.E-08
291648.E+00  122887.E-08  338354.E-08
298592.E+00  125074.E-08  338531.E-08
305536.E+00  127308.E-08  341941.E-08
312480.E+00  129170.E-08  347725.E-08
319424.E+00  131453.E-08  351864.E-08
326368.E+00  133901.E-08  360960.E-08
333312.E+00  135874.E-08  372296.E-08
340256.E+00  138827.E-08  371994.E-08
347200.E+00  141449.E-08  379611.E-08
354144.E+00  144112.E-08  383552.E-08
361088.E+00  147345.E-08  396500.E-08
368032.E+00  150568.E-08  402835.E-08
374976.E+00  153501.E-08  408671.E-08
381920.E+00  157408.E-08  425705.E-08
388864.E+00  161413.E-08  428179.E-08
395808.E+00  165497.E-08  439812.E-08
402752.E+00  169647.E-08  448103.E-08
409696.E+00  174055.E-08  464793.E-08
416640.E+00  179235.E-08  476467.E-08
423584.E+00  184038.E-08  492247.E-08
430528.E+00  190255.E-08  497584.E-08
437472.E+00  196618.E-08  519852.E-08
444416.E+00  203381.E-08  541924.E-08
451360.E+00  211314.E-08  554268.E-08
458304.E+00  219181.E-08  578493.E-08
465248.E+00  228530.E-08  599166.E-08
472192.E+00  239626.E-08  628545.E-08
479136.E+00  251790.E-08  657110.E-08
486080.E+00  264875.E-08  684777.E-08
493024.E+00  280564.E-08  726255.E-08
499968.E+00  298667.E-08  762184.E-08
506912.E+00  320814.E-08  817611.E-08
513856.E+00  345832.E-08  874380.E-08
520800.E+00  377965.E-08  949463.E-08
527744.E+00  418435.E-08  104387.E-07
534688.E+00  474033.E-08  114076.E-07
541632.E+00  549594.E-08  130098.E-07
548576.E+00  654890.E-08  151282.E-07
555520.E+00  812558.E-08  179359.E-07
562464.E+00  104016.E-07  216603.E-07
569408.E+00  132425.E-07  260126.E-07
576352.E+00  158317.E-07  291761.E-07
583296.E+00  165695.E-07  289195.E-07
590240.E+00  142738.E-07  237938.E-07
597184.E+00  975362.E-08  156413.E-07
604128.E+00  518716.E-08  804435.E-08
611072.E+00  211750.E-08  322348.E-08
618016.E+00  656372.E-09  964892.E-09
624960.E+00  154522.E-09  221095.E-09
631904.E+00  269222.E-10  376038.E-10
638848.E+00  294039.E-11  401343.E-11
645792.E+00  595619.E-12  855085.E-12
652736.E+00  477274.E-13  451207.E-13
659680.E+00  000000.E+00  000000.E+00
666624.E+00  000000.E+00  000000.E+00
673568.E+00  000000.E+00  000000.E+00
680512.E+00  000000.E+00  000000.E+00
687456.E+00  000000.E+00  000000.E+00
694400.E+00  000000.E+00  000000.E+00
