====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 63200.E+01 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 545615.E+00 A   Straggling = 227970.E-01 A
 Ion Lateral Range = 336506.E-01 A   Straggling = 461314.E-01 A
 Ion Radial  Range = 528531.E-01 A   Straggling = 383118.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
3792000.E-01 14747209.E-02 18019129.E-02 25062515.E-02 92187244.E-03 
3855200.E-01 15059011.E-02 18114662.E-02 24066916.E-02 93446858.E-03 
3918400.E-01 16079456.E-02 19025359.E-02 24455038.E-02 89461159.E-03 
3981600.E-01 14645306.E-02 17411282.E-02 22642768.E-02 90069877.E-03 
4044800.E-01 16208195.E-02 18811852.E-02 24635954.E-02 80983856.E-03 
4108000.E-01 14415554.E-02 17056410.E-02 22374069.E-02 85009917.E-03 
4171200.E-01 13825949.E-02 16584873.E-02 23095460.E-02 84933005.E-03 
4234400.E-01 13466753.E-02 16009053.E-02 22076720.E-02 86896201.E-03 
4297600.E-01 13916800.E-02 16316569.E-02 21635077.E-02 78234529.E-03 
4360800.E-01 13868875.E-02 16437843.E-02 21485069.E-02 79605253.E-03 
4424000.E-01 13021102.E-02 15387496.E-02 20978053.E-02 73280209.E-03 
4487200.E-01 12341090.E-02 14511620.E-02 19585341.E-02 72433474.E-03 
4550400.E-01 12452967.E-02 14913850.E-02 19614017.E-02 74580497.E-03 
4613600.E-01 12346508.E-02 14526103.E-02 18555111.E-02 71647399.E-03 
4676800.E-01 11668257.E-02 13735944.E-02 18429577.E-02 69310109.E-03 
4740000.E-01 11032668.E-02 13068664.E-02 17103919.E-02 65483845.E-03 
4803200.E-01 10532718.E-02 12506528.E-02 16725559.E-02 63858522.E-03 
4866400.E-01 10079231.E-02 11959814.E-02 15986566.E-02 60249403.E-03 
4929600.E-01 97940606.E-03 11651706.E-02 15209670.E-02 58241726.E-03 
4992800.E-01 92502634.E-03 10966649.E-02 14371972.E-02 54474695.E-03 
5056000.E-01 84706426.E-03 10105824.E-02 13236957.E-02 50709515.E-03 
5119200.E-01 77316560.E-03 92148409.E-03 12144698.E-02 47224204.E-03 
5182400.E-01 67128804.E-03 80839185.E-03 10585155.E-02 44090830.E-03 
5245600.E-01 56085244.E-03 68759389.E-03 88576890.E-03 41084817.E-03 
5308800.E-01 46088164.E-03 57299995.E-03 72076401.E-03 36601038.E-03 
5372000.E-01 38372459.E-03 48258432.E-03 60264303.E-03 31964904.E-03 
5435200.E-01 33219165.E-03 41884242.E-03 52300220.E-03 28156868.E-03 
5498400.E-01 29927976.E-03 37773897.E-03 46989412.E-03 25351952.E-03 
5561600.E-01 27503967.E-03 34691962.E-03 43149697.E-03 23287915.E-03 
5624800.E-01 25714435.E-03 32411554.E-03 40424339.E-03 21645513.E-03 
5688000.E-01 24445016.E-03 30806742.E-03 38244854.E-03 20482761.E-03 
5751200.E-01 23330980.E-03 29278579.E-03 36476562.E-03 19309943.E-03 
5814400.E-01 22141908.E-03 27853455.E-03 35100539.E-03 18720212.E-03 
5877600.E-01 21574482.E-03 27014777.E-03 33823669.E-03 17913655.E-03 
5940800.E-01 21742058.E-03 27095099.E-03 33546586.E-03 17618084.E-03 
6004000.E-01 19286330.E-03 22457780.E-03 31827736.E-03 15519714.E-03 
6067200.E-01 19496540.E-03 23290332.E-03 31878221.E-03 67085799.E-04 
6130400.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6193600.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6256800.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6320000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
