====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 63200.E+01 A ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
632001.E-02  3523.23E-03  5472.31E-08
126400.E-01  3530.36E-03  2268.36E-07
189600.E-01  3546.01E-03  3199.54E-07
252800.E-01  3560.29E-03  2398.39E-07
316000.E-01  3575.44E-03  2933.33E-07
379200.E-01  3593.59E-03  2953.63E-07
442400.E-01  3611.96E-03  2753.24E-07
505600.E-01  3630.12E-03  3245.79E-07
568800.E-01  3649.18E-03  2913.20E-07
632000.E-01  3669.29E-03  2923.71E-07
695200.E-01  3688.29E-03  3136.84E-07
758400.E-01  3708.17E-03  3248.38E-07
821600.E-01  3727.99E-03  3423.63E-07
884800.E-01  3749.14E-03  3328.56E-07
948000.E-01  3770.39E-03  3097.22E-07
101120.E+00  3790.88E-03  3359.50E-07
107440.E+00  3812.57E-03  3809.55E-07
113760.E+00  3833.96E-03  3066.54E-07
120080.E+00  3856.38E-03  3442.27E-07
126400.E+00  3880.10E-03  3310.53E-07
132720.E+00  3902.38E-03  3610.92E-07
139040.E+00  3926.26E-03  3170.29E-07
145360.E+00  3952.24E-03  3670.71E-07
151680.E+00  3976.95E-03  3620.01E-07
158000.E+00  4001.32E-03  3575.03E-07
164320.E+00  4028.22E-03  3496.70E-07
170640.E+00  4054.32E-03  3565.71E-07
176960.E+00  4080.14E-03  3509.31E-07
183280.E+00  4108.93E-03  3712.15E-07
189600.E+00  4137.79E-03  3592.71E-07
195920.E+00  4165.96E-03  3812.92E-07
202240.E+00  4197.37E-03  3673.84E-07
208560.E+00  4227.92E-03  3920.28E-07
214880.E+00  4259.11E-03  3618.18E-07
221200.E+00  4291.11E-03  3983.22E-07
227520.E+00  4323.66E-03  3973.52E-07
233840.E+00  4357.45E-03  3798.45E-07
240160.E+00  4392.62E-03  4020.31E-07
246480.E+00  4427.84E-03  4050.58E-07
252800.E+00  4462.15E-03  3858.80E-07
259120.E+00  4499.66E-03  4235.73E-07
265440.E+00  4539.04E-03  4014.18E-07
271760.E+00  4578.69E-03  4308.18E-07
278080.E+00  4618.34E-03  3934.94E-07
284400.E+00  4661.79E-03  4181.41E-07
290720.E+00  4704.75E-03  4448.09E-07
297040.E+00  4749.14E-03  4488.63E-07
303360.E+00  4795.02E-03  4762.27E-07
309680.E+00  4844.44E-03  4349.10E-07
316000.E+00  4895.36E-03  4807.67E-07
322320.E+00  4945.35E-03  4815.01E-07
328640.E+00  4999.36E-03  4624.90E-07
334960.E+00  5056.20E-03  5016.12E-07
341280.E+00  5110.37E-03  4905.06E-07
347600.E+00  5171.65E-03  4993.06E-07
353920.E+00  5233.55E-03  4931.17E-07
360240.E+00  5298.30E-03  5412.59E-07
366560.E+00  5366.54E-03  5093.33E-07
372880.E+00  5436.43E-03  5522.91E-07
379200.E+00  5510.00E-03  5561.52E-07
385520.E+00  5588.92E-03  5703.02E-07
391840.E+00  5670.01E-03  5855.78E-07
398160.E+00  5756.80E-03  6004.47E-07
404480.E+00  5846.91E-03  5950.10E-07
410800.E+00  5943.58E-03  6267.37E-07
417120.E+00  6045.15E-03  6392.67E-07
423440.E+00  6151.59E-03  6290.52E-07
429760.E+00  6264.83E-03  6735.06E-07
436080.E+00  6384.82E-03  7114.17E-07
442400.E+00  6508.18E-03  6837.01E-07
448720.E+00  6641.26E-03  7192.61E-07
455040.E+00  6777.37E-03  7725.92E-07
461360.E+00  6926.43E-03  7951.29E-07
467680.E+00  7088.12E-03  8373.53E-07
474000.E+00  7274.43E-03  8428.39E-07
480320.E+00  7484.19E-03  9021.87E-07
486640.E+00  7725.91E-03  9527.48E-07
492960.E+00  8001.20E-03  1037.37E-06
499280.E+00  8328.43E-03  1113.51E-06
505600.E+00  8724.11E-03  1188.71E-06
511920.E+00  9224.25E-03  1322.58E-06
518240.E+00  9854.45E-03  1517.62E-06
524560.E+00  1059.83E-02  1783.73E-06
530880.E+00  1131.40E-02  2150.46E-06
537200.E+00  1160.18E-02  2640.50E-06
543520.E+00  1083.25E-02  2979.76E-06
549840.E+00  8766.73E-03  2912.05E-06
556160.E+00  5868.85E-03  2325.50E-06
562480.E+00  3155.25E-03  1448.19E-06
568800.E+00  1327.67E-03  7036.43E-07
575120.E+00  4310.03E-04  2553.29E-07
581440.E+00  1070.43E-04  6954.76E-08
587760.E+00  2059.24E-05  1487.56E-08
594080.E+00  2896.42E-06  2304.48E-09
600400.E+00  2535.41E-07  1944.66E-10
606720.E+00  2942.81E-08  2368.42E-11
613040.E+00  0000.00E+00  0000.00E+00
619360.E+00  0000.00E+00  0000.00E+00
625680.E+00  0000.00E+00  0000.00E+00
632000.E+00  0000.00E+00  0000.00E+00
