====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+05 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
341501.E-02  731158.E-09  351856.E-09
683001.E-02  683285.E-09  121814.E-08
102450.E-01  662194.E-09  213462.E-08
136600.E-01  653318.E-09  230749.E-08
170750.E-01  630899.E-09  163459.E-08
204900.E-01  620354.E-09  199844.E-08
239050.E-01  620203.E-09  218137.E-08
273200.E-01  624045.E-09  214131.E-08
307350.E-01  629481.E-09  222598.E-08
341500.E-01  635438.E-09  222979.E-08
375650.E-01  640900.E-09  226005.E-08
409800.E-01  645468.E-09  224271.E-08
443950.E-01  650620.E-09  225647.E-08
478100.E-01  655973.E-09  234458.E-08
512250.E-01  661604.E-09  236351.E-08
546400.E-01  666625.E-09  242242.E-08
580550.E-01  672472.E-09  226694.E-08
614700.E-01  678714.E-09  229931.E-08
648850.E-01  685190.E-09  240246.E-08
683000.E-01  691896.E-09  232098.E-08
717150.E-01  698018.E-09  246374.E-08
751300.E-01  704234.E-09  256823.E-08
785450.E-01  711449.E-09  250614.E-08
819600.E-01  718138.E-09  250529.E-08
853750.E-01  724386.E-09  250317.E-08
887900.E-01  732109.E-09  257896.E-08
922050.E-01  740111.E-09  261532.E-08
956200.E-01  748042.E-09  259461.E-08
990350.E-01  755503.E-09  258517.E-08
102450.E+00  763517.E-09  256971.E-08
105865.E+00  772369.E-09  271989.E-08
109280.E+00  781137.E-09  265558.E-08
112695.E+00  790601.E-09  266827.E-08
116110.E+00  799735.E-09  286824.E-08
119525.E+00  809045.E-09  277575.E-08
122940.E+00  818431.E-09  295393.E-08
126355.E+00  826749.E-09  299224.E-08
129770.E+00  837341.E-09  290941.E-08
133185.E+00  849744.E-09  302907.E-08
136600.E+00  862679.E-09  294781.E-08
140015.E+00  873627.E-09  311748.E-08
143430.E+00  885689.E-09  303164.E-08
146845.E+00  897277.E-09  312156.E-08
150260.E+00  910493.E-09  314608.E-08
153675.E+00  925504.E-09  332774.E-08
157090.E+00  939276.E-09  325821.E-08
160505.E+00  953126.E-09  340718.E-08
163920.E+00  968240.E-09  336238.E-08
167335.E+00  983847.E-09  342334.E-08
170750.E+00  100098.E-08  348116.E-08
174165.E+00  101825.E-08  353739.E-08
177580.E+00  103727.E-08  364109.E-08
180995.E+00  105728.E-08  371236.E-08
184410.E+00  107834.E-08  373052.E-08
187825.E+00  110010.E-08  395526.E-08
191240.E+00  112337.E-08  389215.E-08
194655.E+00  114454.E-08  406456.E-08
198070.E+00  117007.E-08  403400.E-08
201485.E+00  119953.E-08  416392.E-08
204900.E+00  122401.E-08  419541.E-08
208315.E+00  125501.E-08  433264.E-08
211730.E+00  128975.E-08  447902.E-08
215145.E+00  132331.E-08  468851.E-08
218560.E+00  135780.E-08  472734.E-08
221975.E+00  139906.E-08  485902.E-08
225390.E+00  144153.E-08  497571.E-08
228805.E+00  148748.E-08  517416.E-08
232220.E+00  153634.E-08  532324.E-08
235635.E+00  159264.E-08  552588.E-08
239050.E+00  165360.E-08  582822.E-08
242465.E+00  172309.E-08  591119.E-08
245880.E+00  180050.E-08  614602.E-08
249295.E+00  189047.E-08  662796.E-08
252710.E+00  198775.E-08  704347.E-08
256125.E+00  210254.E-08  735139.E-08
259540.E+00  224009.E-08  781967.E-08
262955.E+00  240373.E-08  825821.E-08
266370.E+00  260926.E-08  891365.E-08
269785.E+00  286127.E-08  971093.E-08
273200.E+00  321852.E-08  108179.E-07
276615.E+00  375399.E-08  124581.E-07
280030.E+00  456047.E-08  146401.E-07
283445.E+00  589875.E-08  181940.E-07
286860.E+00  793099.E-08  228986.E-07
290275.E+00  103614.E-07  279686.E-07
293690.E+00  122798.E-07  309273.E-07
297105.E+00  122895.E-07  293751.E-07
300520.E+00  101364.E-07  230882.E-07
303935.E+00  672403.E-08  147159.E-07
307350.E+00  352719.E-08  744374.E-08
310765.E+00  147859.E-08  303124.E-08
314180.E+00  477631.E-09  950618.E-09
317595.E+00  117215.E-09  228883.E-09
321010.E+00  244625.E-10  454603.E-10
324425.E+00  376378.E-11  780849.E-11
327840.E+00  317253.E-12  506401.E-12
331255.E+00  000000.E+00  000000.E+00
334670.E+00  000000.E+00  000000.E+00
338085.E+00  000000.E+00  000000.E+00
341500.E+00  000000.E+00  000000.E+00
