====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     9.E+05 A ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 14 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
908601.E-02  7266.12E-10  1638.66E-09  
181720.E-01  2272.95E-09  5137.10E-09  
272580.E-01  1795.84E-09  3993.33E-09  
363440.E-01  2275.37E-09  5114.72E-09  
454300.E-01  2348.89E-09  4868.42E-09  
545160.E-01  2367.16E-09  5222.82E-09  
636020.E-01  2382.79E-09  4870.02E-09  
726880.E-01  2396.76E-09  5742.87E-09  
817740.E-01  2431.65E-09  5221.76E-09  
908600.E-01  2435.29E-09  4755.74E-09  
999460.E-01  2421.75E-09  4934.81E-09  
109032.E+00  2484.26E-09  5389.45E-09  
118118.E+00  2502.42E-09  5302.24E-09  
127204.E+00  2519.92E-09  5311.60E-09  
136290.E+00  2554.26E-09  5412.84E-09  
145376.E+00  2572.75E-09  5485.35E-09  
154462.E+00  2565.71E-09  5156.24E-09  
163548.E+00  2628.44E-09  5449.85E-09  
172634.E+00  2654.08E-09  5620.52E-09  
181720.E+00  2635.92E-09  5411.68E-09  
190806.E+00  2716.71E-09  6045.49E-09  
199892.E+00  2686.66E-09  5355.40E-09  
208978.E+00  2711.31E-09  5603.61E-09  
218064.E+00  2781.20E-09  5767.92E-09  
227150.E+00  2796.17E-09  5890.31E-09  
236236.E+00  2825.12E-09  6316.44E-09  
245322.E+00  2863.64E-09  5685.79E-09  
254408.E+00  2906.67E-09  6067.49E-09  
263494.E+00  2954.22E-09  6099.97E-09  
272580.E+00  2959.83E-09  6311.05E-09  
281666.E+00  2954.88E-09  6289.34E-09  
290752.E+00  2974.25E-09  6173.64E-09  
299838.E+00  3051.84E-09  6430.70E-09  
308924.E+00  3084.31E-09  6387.43E-09  
318010.E+00  3144.18E-09  6419.04E-09  
327096.E+00  3170.26E-09  6317.41E-09  
336182.E+00  3184.35E-09  6666.96E-09  
345268.E+00  3263.15E-09  6607.83E-09  
354354.E+00  3344.60E-09  6624.13E-09  
363440.E+00  3343.28E-09  6576.60E-09  
372526.E+00  3397.86E-09  6448.05E-09  
381612.E+00  3439.69E-09  6826.47E-09  
390698.E+00  3498.24E-09  6928.30E-09  
399784.E+00  3542.70E-09  7029.25E-09  
408870.E+00  3568.35E-09  6900.05E-09  
417956.E+00  3660.69E-09  7310.60E-09  
427042.E+00  3681.82E-09  7324.93E-09  
436128.E+00  3749.72E-09  7965.26E-09  
445214.E+00  3835.57E-09  7526.74E-09  
454300.E+00  3927.47E-09  7896.76E-09  
463386.E+00  3976.45E-09  8096.08E-09  
472472.E+00  4045.23E-09  7939.00E-09  
481558.E+00  4132.29E-09  7886.32E-09  
490644.E+00  4180.72E-09  8448.28E-09  
499730.E+00  4295.95E-09  8934.29E-09  
508816.E+00  4384.44E-09  8784.94E-09  
517902.E+00  4500.11E-09  8307.47E-09  
526988.E+00  4588.60E-09  8590.78E-09  
536074.E+00  4650.34E-09  8499.24E-09  
545160.E+00  4817.74E-09  9435.96E-09  
554246.E+00  4945.41E-09  9213.70E-09  
563332.E+00  5073.74E-09  9780.84E-09  
