====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 88470.E+01 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 777404.E+00 A   Straggling = 242966.E-01 A
 Ion Lateral Range = 359819.E-01 A   Straggling = 500085.E-01 A
 Ion Radial  Range = 565396.E-01 A   Straggling = 425707.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5308200.E-01 22828582.E-02 27115366.E-02 35240324.E-02 14905559.E-02 
5396670.E-01 24949504.E-02 29253215.E-02 36344306.E-02 13281234.E-02 
5485140.E-01 22012803.E-02 25974519.E-02 32286350.E-02 14269908.E-02 
5573610.E-01 23081310.E-02 26528098.E-02 34840369.E-02 12091509.E-02 
5662080.E-01 20591465.E-02 24396133.E-02 32336295.E-02 13111181.E-02 
5750550.E-01 23631232.E-02 27832115.E-02 33873027.E-02 13090572.E-02 
5839020.E-01 20330707.E-02 23465843.E-02 32631968.E-02 12121185.E-02 
5927490.E-01 18883720.E-02 22819213.E-02 30414123.E-02 11579985.E-02 
6015960.E-01 19316489.E-02 22685169.E-02 29930630.E-02 11900855.E-02 
6104430.E-01 19908744.E-02 23425008.E-02 30944475.E-02 11217837.E-02 
6192900.E-01 18969051.E-02 22451659.E-02 28508025.E-02 11786012.E-02 
6281370.E-01 18674541.E-02 21770605.E-02 29561178.E-02 10407572.E-02 
6369840.E-01 17207865.E-02 20618372.E-02 27378545.E-02 10606637.E-02 
6458310.E-01 17409979.E-02 20636845.E-02 27014211.E-02 10788877.E-02 
6546780.E-01 17403414.E-02 20739114.E-02 26823798.E-02 99835819.E-03 
6635250.E-01 15139821.E-02 17997151.E-02 24681981.E-02 10041663.E-02 
6723720.E-01 15634249.E-02 18639971.E-02 24429816.E-02 93792068.E-03 
6812190.E-01 15074382.E-02 17772068.E-02 23640065.E-02 91646481.E-03 
6900660.E-01 14465174.E-02 17267006.E-02 22198746.E-02 88391257.E-03 
6989130.E-01 13238740.E-02 15857671.E-02 21539473.E-02 80492499.E-03 
7077600.E-01 12673166.E-02 15165251.E-02 20129470.E-02 79883282.E-03 
7166070.E-01 11734203.E-02 14082478.E-02 18539722.E-02 76327695.E-03 
7254540.E-01 10975777.E-02 13189022.E-02 17332417.E-02 70469807.E-03 
7343010.E-01 97428059.E-03 11780350.E-02 15305287.E-02 65635185.E-03 
7431480.E-01 78210127.E-03 96854053.E-03 12282225.E-02 60332895.E-03 
7519950.E-01 58469831.E-03 74790898.E-03 91977636.E-03 52488130.E-03 
7608420.E-01 45062495.E-03 58210306.E-03 70950482.E-03 42178570.E-03 
7696890.E-01 38062986.E-03 48923175.E-03 59874040.E-03 35038355.E-03 
7785360.E-01 33874139.E-03 43404311.E-03 53240063.E-03 30453535.E-03 
7873830.E-01 31196340.E-03 39714840.E-03 48968467.E-03 27455717.E-03 
7962300.E-01 29406163.E-03 37298112.E-03 46127300.E-03 25491228.E-03 
8050770.E-01 27834514.E-03 35221280.E-03 43768829.E-03 23905716.E-03 
8139240.E-01 26764577.E-03 33843322.E-03 41962862.E-03 22767068.E-03 
8227710.E-01 26164451.E-03 33093746.E-03 40663413.E-03 21962943.E-03 
8316180.E-01 25128037.E-03 32029897.E-03 39529857.E-03 21431349.E-03 
8404650.E-01 22862111.E-03 28855328.E-03 35152244.E-03 18199854.E-03 
8493120.E-01 26469349.E-03 28557935.E-03 30451630.E-03 11368173.E-03 
8581590.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8670060.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8758530.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8847000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
