====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     9.E+05 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
884701.E-02  430262.E-09  505320.E-09
176940.E-01  394116.E-09  142028.E-08
265410.E-01  369936.E-09  108142.E-08
353880.E-01  362129.E-09  142212.E-08
442350.E-01  364668.E-09  137891.E-08
530820.E-01  367822.E-09  142685.E-08
619290.E-01  370365.E-09  143763.E-08
707760.E-01  372970.E-09  147832.E-08
796230.E-01  376023.E-09  150634.E-08
884700.E-01  378345.E-09  144091.E-08
973170.E-01  380516.E-09  146499.E-08
106164.E+00  383477.E-09  147215.E-08
115011.E+00  387151.E-09  145917.E-08
123858.E+00  390131.E-09  148728.E-08
132705.E+00  392800.E-09  158623.E-08
141552.E+00  395971.E-09  156386.E-08
150399.E+00  399335.E-09  153491.E-08
159246.E+00  402775.E-09  154400.E-08
168093.E+00  406081.E-09  164020.E-08
176940.E+00  409471.E-09  159652.E-08
185787.E+00  413148.E-09  163505.E-08
194634.E+00  416115.E-09  161110.E-08
203481.E+00  419639.E-09  161012.E-08
212328.E+00  424157.E-09  167864.E-08
221175.E+00  427990.E-09  165566.E-08
230022.E+00  431734.E-09  173620.E-08
238869.E+00  435511.E-09  167244.E-08
247716.E+00  440464.E-09  165649.E-08
256563.E+00  444648.E-09  171838.E-08
265410.E+00  448688.E-09  167041.E-08
274257.E+00  453852.E-09  172745.E-08
283104.E+00  458418.E-09  177391.E-08
291951.E+00  462526.E-09  180294.E-08
300798.E+00  468247.E-09  179643.E-08
309645.E+00  473601.E-09  179952.E-08
318492.E+00  478891.E-09  179276.E-08
327339.E+00  483552.E-09  189798.E-08
336186.E+00  488620.E-09  178976.E-08
345033.E+00  494795.E-09  187680.E-08
353880.E+00  500893.E-09  190606.E-08
362727.E+00  506696.E-09  197642.E-08
371574.E+00  512498.E-09  205331.E-08
380421.E+00  520871.E-09  194937.E-08
389268.E+00  527690.E-09  207730.E-08
398115.E+00  534127.E-09  209042.E-08
406962.E+00  542483.E-09  215643.E-08
415809.E+00  549977.E-09  213029.E-08
424656.E+00  557595.E-09  220666.E-08
433503.E+00  565816.E-09  226090.E-08
442350.E+00  574339.E-09  223781.E-08
451197.E+00  583729.E-09  227583.E-08
460044.E+00  593170.E-09  231749.E-08
468891.E+00  602598.E-09  236947.E-08
477738.E+00  613025.E-09  235192.E-08
486585.E+00  624596.E-09  238101.E-08
495432.E+00  636584.E-09  238546.E-08
504279.E+00  648609.E-09  250055.E-08
513126.E+00  660775.E-09  257482.E-08
521973.E+00  673589.E-09  264966.E-08
530820.E+00  687768.E-09  265257.E-08
539667.E+00  704350.E-09  268571.E-08
548514.E+00  719149.E-09  281751.E-08
557361.E+00  736713.E-09  286753.E-08
566208.E+00  753286.E-09  291527.E-08
575055.E+00  772434.E-09  294208.E-08
583902.E+00  794836.E-09  316362.E-08
592749.E+00  818430.E-09  318900.E-08
601596.E+00  841785.E-09  327728.E-08
610443.E+00  867057.E-09  341106.E-08
619290.E+00  897528.E-09  344073.E-08
628137.E+00  930629.E-09  353633.E-08
636984.E+00  965328.E-09  375666.E-08
645831.E+00  100564.E-08  389595.E-08
654678.E+00  104729.E-08  401991.E-08
663525.E+00  109630.E-08  435072.E-08
672372.E+00  115549.E-08  443460.E-08
681219.E+00  121925.E-08  472291.E-08
690066.E+00  129834.E-08  502258.E-08
698913.E+00  139010.E-08  535722.E-08
707760.E+00  150504.E-08  580246.E-08
716607.E+00  164970.E-08  637296.E-08
725454.E+00  184600.E-08  718308.E-08
734301.E+00  212890.E-08  817725.E-08
743148.E+00  262094.E-08  990550.E-08
751995.E+00  359148.E-08  130698.E-07
760842.E+00  548125.E-08  186453.E-07
769689.E+00  820368.E-08  259717.E-07
778536.E+00  101268.E-07  300520.E-07
787383.E+00  938880.E-08  266203.E-07
796230.E+00  622557.E-08  170389.E-07
805077.E+00  287356.E-08  758919.E-08
813924.E+00  923845.E-09  239217.E-08
822771.E+00  205256.E-09  512688.E-09
831618.E+00  324788.E-10  771642.E-10
840465.E+00  367744.E-11  974758.E-11
849312.E+00  153008.E-12  522640.E-12
858159.E+00  000000.E+00  000000.E+00
867006.E+00  000000.E+00  000000.E+00
875853.E+00  000000.E+00  000000.E+00
884700.E+00  000000.E+00  000000.E+00
