====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+04 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
737570.E-03  397962.E-08  127369.E-08
147513.E-02  382645.E-08  386092.E-08
221269.E-02  374968.E-08  681706.E-08
295025.E-02  372079.E-08  999535.E-08
368781.E-02  373426.E-08  947331.E-08
442537.E-02  366778.E-08  645977.E-08
516293.E-02  364034.E-08  787571.E-08
590049.E-02  365111.E-08  907669.E-08
663805.E-02  368109.E-08  917262.E-08
737561.E-02  372046.E-08  998900.E-08
811317.E-02  375957.E-08  100374.E-07
885073.E-02  379398.E-08  987521.E-08
958829.E-02  384414.E-08  993567.E-08
103259.E-01  388922.E-08  100684.E-07
110634.E-01  393840.E-08  102080.E-07
118010.E-01  399067.E-08  103085.E-07
125385.E-01  404015.E-08  101193.E-07
132761.E-01  409400.E-08  109798.E-07
140137.E-01  414352.E-08  105935.E-07
147512.E-01  419260.E-08  108395.E-07
154888.E-01  425115.E-08  107857.E-07
162263.E-01  429679.E-08  113216.E-07
169639.E-01  436553.E-08  112906.E-07
177015.E-01  441701.E-08  111751.E-07
184390.E-01  447195.E-08  113145.E-07
191766.E-01  454708.E-08  114023.E-07
199141.E-01  461736.E-08  117871.E-07
206517.E-01  469204.E-08  118629.E-07
213893.E-01  476560.E-08  121008.E-07
221268.E-01  484667.E-08  123079.E-07
228644.E-01  491144.E-08  126175.E-07
236019.E-01  499361.E-08  127956.E-07
243395.E-01  508436.E-08  130775.E-07
250771.E-01  516507.E-08  131688.E-07
258146.E-01  527661.E-08  133644.E-07
265522.E-01  538764.E-08  135336.E-07
272897.E-01  549484.E-08  136173.E-07
280273.E-01  560998.E-08  140461.E-07
287649.E-01  571579.E-08  142711.E-07
295024.E-01  581614.E-08  147809.E-07
302400.E-01  597393.E-08  150869.E-07
309775.E-01  609319.E-08  151391.E-07
317151.E-01  625120.E-08  154906.E-07
324527.E-01  642516.E-08  161775.E-07
331902.E-01  657179.E-08  158544.E-07
339278.E-01  674606.E-08  168811.E-07
346653.E-01  694782.E-08  171498.E-07
354029.E-01  717218.E-08  175795.E-07
361405.E-01  738879.E-08  179417.E-07
368780.E-01  759945.E-08  184777.E-07
376156.E-01  787884.E-08  191419.E-07
383531.E-01  815956.E-08  198505.E-07
390907.E-01  846438.E-08  205763.E-07
398283.E-01  879758.E-08  211731.E-07
405658.E-01  915546.E-08  220733.E-07
413034.E-01  955718.E-08  224125.E-07
420409.E-01  998757.E-08  239585.E-07
427785.E-01  105363.E-07  247301.E-07
435161.E-01  110566.E-07  260838.E-07
442536.E-01  117428.E-07  271357.E-07
449912.E-01  124908.E-07  287098.E-07
457287.E-01  133890.E-07  302792.E-07
464663.E-01  143980.E-07  320779.E-07
472039.E-01  155098.E-07  340872.E-07
479414.E-01  168970.E-07  368731.E-07
486790.E-01  185828.E-07  394402.E-07
494165.E-01  206037.E-07  428091.E-07
501541.E-01  230857.E-07  469355.E-07
508917.E-01  260089.E-07  519332.E-07
516292.E-01  296236.E-07  575516.E-07
523668.E-01  340986.E-07  637544.E-07
531043.E-01  393848.E-07  710622.E-07
538419.E-01  454923.E-07  792533.E-07
545795.E-01  519180.E-07  866603.E-07
553170.E-01  582371.E-07  933985.E-07
560546.E-01  632198.E-07  971026.E-07
567921.E-01  651457.E-07  959782.E-07
575297.E-01  628129.E-07  891057.E-07
582673.E-01  552415.E-07  756076.E-07
590048.E-01  446674.E-07  590311.E-07
597424.E-01  324892.E-07  417879.E-07
604799.E-01  212177.E-07  265448.E-07
612175.E-01  122994.E-07  149669.E-07
619551.E-01  624186.E-08  747478.E-08
626926.E-01  282050.E-08  331228.E-08
634302.E-01  107399.E-08  124545.E-08
641677.E-01  361868.E-09  406949.E-09
649053.E-01  100258.E-09  110606.E-09
656429.E-01  209984.E-10  230138.E-10
663804.E-01  461512.E-11  460657.E-11
671180.E-01  113864.E-11  124351.E-11
678555.E-01  503440.E-12  474148.E-12
685931.E-01  000000.E+00  000000.E+00
693307.E-01  000000.E+00  000000.E+00
700682.E-01  000000.E+00  000000.E+00
708058.E-01  000000.E+00  000000.E+00
715433.E-01  000000.E+00  000000.E+00
722809.E-01  000000.E+00  000000.E+00
730185.E-01  000000.E+00  000000.E+00
737560.E-01  000000.E+00  000000.E+00
