====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 73756.E+00 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 552708.E-01 A   Straggling = 522067.E-02 A
 Ion Lateral Range = 695770.E-02 A   Straggling = 905663.E-02 A
 Ion Radial  Range = 109334.E-01 A   Straggling = 667594.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4425361.E-02 14327618.E-03 16966581.E-03 22390549.E-03 82207148.E-04 
4499117.E-02 13983878.E-03 16572971.E-03 21947942.E-03 80637797.E-04 
4572873.E-02 13636900.E-03 16109434.E-03 21255436.E-03 77940500.E-04 
4646629.E-02 13106182.E-03 15540313.E-03 20750774.E-03 76295027.E-04 
4720385.E-02 12967590.E-03 15282280.E-03 20172169.E-03 73078367.E-04 
4794141.E-02 12267521.E-03 14540154.E-03 19305597.E-03 71521200.E-04 
4867897.E-02 11842663.E-03 14055578.E-03 18713693.E-03 68666477.E-04 
4941653.E-02 11490552.E-03 13623917.E-03 17907544.E-03 66542839.E-04 
5015409.E-02 10975947.E-03 13009285.E-03 17273978.E-03 63900086.E-04 
5089165.E-02 10444866.E-03 12401181.E-03 16434242.E-03 61138281.E-04 
5162921.E-02 10044534.E-03 11891128.E-03 15627249.E-03 59462471.E-04 
5236677.E-02 93787796.E-04 11157923.E-03 14726008.E-03 56912779.E-04 
5310433.E-02 88124868.E-04 10527544.E-03 13823005.E-03 54711177.E-04 
5384189.E-02 81616741.E-04 98030165.E-04 12873062.E-03 52358702.E-04 
5457945.E-02 75853810.E-04 91555974.E-04 11909409.E-03 50699960.E-04 
5531701.E-02 70109355.E-04 85138047.E-04 11036106.E-03 48615933.E-04 
5605457.E-02 64645322.E-04 78894653.E-04 10184342.E-03 46428339.E-04 
5679213.E-02 59909195.E-04 73507734.E-04 94160061.E-04 44207395.E-04 
5752969.E-02 55854148.E-04 68796333.E-04 87730213.E-04 42054106.E-04 
5826725.E-02 51981954.E-04 64287890.E-04 81779250.E-04 40095848.E-04 
5900481.E-02 48794773.E-04 60553397.E-04 76648074.E-04 38179364.E-04 
5974237.E-02 46169991.E-04 57351976.E-04 72492736.E-04 36354782.E-04 
6047993.E-02 44015133.E-04 54859121.E-04 69118176.E-04 34910953.E-04 
6121749.E-02 42136424.E-04 52449123.E-04 66019096.E-04 33445625.E-04 
6195505.E-02 40061121.E-04 49989960.E-04 62782444.E-04 32450702.E-04 
6269261.E-02 38235832.E-04 47791675.E-04 60220757.E-04 31156263.E-04 
6343017.E-02 37949233.E-04 47330077.E-04 59509030.E-04 30088994.E-04 
6416773.E-02 37579060.E-04 46873734.E-04 58319367.E-04 29686319.E-04 
6490529.E-02 34361785.E-04 42381179.E-04 51614565.E-04 27168645.E-04 
6564285.E-02 31901780.E-04 41940842.E-04 57447984.E-04 28837488.E-04 
6638041.E-02 36843845.E-04 46095600.E-04 57073218.E-04 24913413.E-04 
6711797.E-02 25765747.E-04 25765747.E-04 57823358.E-04 00000000.E+00 
6785553.E-02 39284928.E-04 40185783.E-04 62328140.E-04 13282329.E-04 
6859309.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6933065.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7006821.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7080577.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7154333.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7228089.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7301845.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7375601.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
