====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+04 A ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 4 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
737570.E-03  1517.16E-09  1883.54E-09  
147513.E-02  4697.92E-09  6410.53E-09  
221269.E-02  8567.44E-09  1177.50E-08  
295025.E-02  1298.88E-08  1729.13E-08  
368781.E-02  1253.32E-08  1663.41E-08  
442537.E-02  8684.04E-09  1081.26E-08  
516293.E-02  1055.37E-08  1360.92E-08  
590049.E-02  1202.21E-08  1640.34E-08  
663805.E-02  1263.76E-08  1554.05E-08  
737561.E-02  1312.16E-08  1856.93E-08  
811317.E-02  1346.20E-08  1827.64E-08  
885073.E-02  1382.40E-08  1713.13E-08  
958829.E-02  1365.85E-08  1746.89E-08  
103259.E-01  1402.87E-08  1762.70E-08  
110634.E-01  1398.94E-08  1799.47E-08  
118010.E-01  1423.61E-08  1801.45E-08  
125385.E-01  1425.38E-08  1714.12E-08  
132761.E-01  1466.59E-08  2028.42E-08  
140137.E-01  1486.79E-08  1816.64E-08  
147512.E-01  1486.79E-08  1896.75E-08  
154888.E-01  1520.15E-08  1827.40E-08  
162263.E-01  1575.06E-08  2001.83E-08  
169639.E-01  1577.36E-08  1958.64E-08  
177015.E-01  1548.62E-08  1909.49E-08  
184390.E-01  1625.22E-08  1893.08E-08  
191766.E-01  1643.53E-08  1892.03E-08  
199141.E-01  1670.24E-08  2008.06E-08  
206517.E-01  1722.16E-08  1965.73E-08  
213893.E-01  1725.96E-08  2049.04E-08  
221268.E-01  1749.69E-08  2082.71E-08  
228644.E-01  1761.08E-08  2173.72E-08  
236019.E-01  1843.65E-08  2168.46E-08  
243395.E-01  1866.56E-08  2236.84E-08  
250771.E-01  1890.83E-08  2213.18E-08  
258146.E-01  1932.18E-08  2234.48E-08  
265522.E-01  1971.37E-08  2234.66E-08  
272897.E-01  2008.65E-08  2196.90E-08  
280273.E-01  2045.26E-08  2309.69E-08  
287649.E-01  2098.27E-08  2309.66E-08  
295024.E-01  2145.72E-08  2458.30E-08  
302400.E-01  2228.16E-08  2467.43E-08  
309775.E-01  2231.00E-08  2442.34E-08  
317151.E-01  2287.27E-08  2483.59E-08  
324527.E-01  2394.79E-08  2634.95E-08  
331902.E-01  2390.04E-08  2442.06E-08  
339278.E-01  2541.62E-08  2692.75E-08  
346653.E-01  2581.48E-08  2704.89E-08  
354029.E-01  2650.23E-08  2766.84E-08  
361405.E-01  2728.73E-08  2748.47E-08  
368780.E-01  2817.67E-08  2834.66E-08  
376156.E-01  2949.45E-08  2920.89E-08  
383531.E-01  3047.89E-08  3028.87E-08  
390907.E-01  3175.61E-08  3143.48E-08  
398283.E-01  3276.61E-08  3179.48E-08  
405658.E-01  3435.65E-08  3312.79E-08  
413034.E-01  3563.24E-08  3181.89E-08  
420409.E-01  3834.81E-08  3486.10E-08  
427785.E-01  3933.37E-08  3534.90E-08  
435161.E-01  4171.05E-08  3741.91E-08  
442536.E-01  4397.47E-08  3740.68E-08  
449912.E-01  4676.23E-08  3904.79E-08  
457287.E-01  4993.22E-08  4008.23E-08  
464663.E-01  5360.92E-08  4080.95E-08  
472039.E-01  5702.72E-08  4257.53E-08  
479414.E-01  6239.22E-08  4493.97E-08  
486790.E-01  6804.33E-08  4531.80E-08  
494165.E-01  7436.68E-08  4691.63E-08  
501541.E-01  8226.99E-08  4884.44E-08  
508917.E-01  9183.25E-08  5138.41E-08  
516292.E-01  1028.07E-07  5322.68E-08  
523668.E-01  1145.56E-07  5342.97E-08  
531043.E-01  1282.85E-07  5368.66E-08  
538419.E-01  1433.52E-07  5346.51E-08  
545795.E-01  1557.73E-07  5052.63E-08  
553170.E-01  1663.70E-07  4681.29E-08  
560546.E-01  1699.28E-07  4033.49E-08  
567921.E-01  1634.13E-07  3277.60E-08  
575297.E-01  1464.53E-07  2498.90E-08  
582673.E-01  1193.64E-07  1701.27E-08  
590048.E-01  8852.97E-08  1060.35E-08  
