====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 34480.E+01 AAA ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 306883.E+00 A   Straggling = 978514.E-02 A
 Ion Lateral Range = 131604.E-01 A   Straggling = 185494.E-01 A
 Ion Radial  Range = 206700.E-01 A   Straggling = 161772.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
3448010.E-03 10112843.E-02 11173432.E-02 15498102.E-02 57155878.E-03 
6896010.E-03 13944440.E-02 15551043.E-02 19517793.E-02 86286310.E-03 
1034401.E-02 13110540.E-02 16234164.E-02 23024929.E-02 12520661.E-03 
1379201.E-02 10702505.E-02 13232957.E-02 15934766.E-02 65971650.E-03 
1724001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2068801.E-02 14736186.E-02 16085058.E-02 20173016.E-02 57804283.E-03 
2413601.E-02 11544558.E-02 11566750.E-02 22596702.E-02 30887734.E-03 
2758401.E-02 12081424.E-02 14340830.E-02 15881113.E-02 64026554.E-03 
3103201.E-02 99062035.E-03 10084294.E-02 15054616.E-02 17272587.E-04 
3448001.E-02 13353787.E-02 15060312.E-02 19266195.E-02 45878349.E-03 
3792801.E-02 11081347.E-02 14005962.E-02 19308360.E-02 62320862.E-03 
4137601.E-02 10420369.E-02 12154712.E-02 21386692.E-02 54134510.E-03 
4482401.E-02 12047024.E-02 13293946.E-02 21443180.E-02 42117566.E-03 
4827201.E-02 14539600.E-02 14694664.E-02 25093960.E-02 17046714.E-03 
5172001.E-02 11586559.E-02 13276021.E-02 20461634.E-02 53444723.E-03 
5516801.E-02 11681396.E-02 12898255.E-02 15995479.E-02 58386010.E-03 
5861601.E-02 10095879.E-02 12625533.E-02 16331426.E-02 52189791.E-03 
6206401.E-02 17145679.E-02 19514086.E-02 22758357.E-02 41996046.E-03 
6551201.E-02 11428840.E-02 14255235.E-02 15062464.E-02 84116060.E-03 
6896001.E-02 12617130.E-02 14882097.E-02 18989992.E-02 56947542.E-03 
7240801.E-02 12969563.E-02 14663911.E-02 19267164.E-02 53826595.E-03 
7585601.E-02 16252203.E-02 17288303.E-02 20074738.E-02 61903842.E-03 
7930401.E-02 10923441.E-02 11717492.E-02 17060325.E-02 58898836.E-03 
